code,title,credit,description
BIA 31100,Management Information Systems,3.00,".  An introduction to the capabilities, limitations, and applications of computers in the business environment.  Topics include information systems, hardware, software, data management, telecommunications and networking, decision support, artificial intelligence, expert systems, security, privacy, ethical issues in information systems, and implementation of effective information technology (IT) utilization. Typically offered Fall Spring Summer."
BIA 32000,Spreadsheet Modeling And Decision Analytics,3.00,".  The objective of this course is to prepare students to analyze data and solve real-life business problems, using Microsoft Excel as a tool. This course challenges students to use data analytic and critical thinking techniques to identify key business problems. Students will use case study to articulate business value from analytic results and translate analytics into decisions that improve business performance. Topics include statistical analysis tools, data visualization and manipulation, logics in decision-making, financial analysis, spreadsheet modeling, optimization, and solver model."
BIA 30700,System Analysis And Design,3.00,".  This course introduces the information systems students to the procedural requirements of the systems development life cycle (SDLC).  A case study approach is used to introduce the students to the techniques of systems planning, analysis, design, implementation, and evaluation. Typically offered Fall Spring Summer."
BIA 30800,Database Management Analysis And Design,3.00,".  This course discusses the functions and components of database management systems and the role of databases in the Systems Development Life Cycle. Both relational and object oriented database techniques are discussed. Data modeling tools presented include enterprise models, entity relationship diagrams, the data dictionary, object diagrams, and normalization techniques. Also, the role and function of the Database Administrator are addressed. Typically offered Fall Spring Summer."
BIA 25000,Introduction To Business Analytics,3.00,".  The objective of this course is to provide students with an introduction to the concepts of business analytics. The course will focus on topics like business programming, data analysis, data visualization, data mining with statistical analysis, and business communication (written and verbal). Typically offered Fall Spring Summer."
BIA 22500,Fundamental Managerial Statistics,3.00,".  The foundation for statistical decision making. Topics include: probability theory, descriptive statistics, estimation, and statistical inference with managerial applications. Typically offered Fall Spring Summer."
BIA 21100,Introduction to Business Information Analytics,3.00,".  The objective of this course is to provide students with an introduction to the concepts and technologies of business information analytics and current legal and ethical issues relating to data and technology usage. The course will focus on the impact of business information analytics in modern business decision making and the skills necessary to analyze business problems. Topics include data analysis, data visualization, and data mining using the computer-based systems, and how to interpret and communicate analytic results."
GBG 49000,Independent Study: Contemporary Issues,1.00 to 6,.00.  Special subjects for investigation and experiment according to the individual student’s interest and need.. Typically offered Fall Spring Summer.
BIA 10200,Computer Utilization For Management,3.00,".  An introduction to computer application software with an emphasis on use within the management area.  Topics include word processing, spreadsheets, presentations, and databases, with applications targeted specifically for marketing, finance, human resource, accounting and economics. Typically offered Summer Fall Spring."
GBG 29000,Independent Study,1.00 to 6,.00.  Hours and subject matter to be arranged with General Business Section chairperson.. Typically offered Fall Spring.
GBG 40500,Business Strategy,3.00,.  A capstone course for Business and Accounting students which focuses on the formulation and implementation of business strategy within the enterprise. Typically offered Fall Spring.
GBG 42000,Legal Research And Writing,3.00,".  This course provides an introduction to the field of legal research with an overview of the various legal sources and their uses.  Student will be able to a certain extent, to choose subject matter of interest to research and make a legal argument.  Through discussion, demonstration, and actual use of the materials in class, students are given hands-on training in the use of primary and secondary legal sources.  A minimum of a 12-15 page paper, a group project and an oral presentation/defense are required.  Extensive internet and library use required. Typically offered Summer Fall Spring."
BA 49000,Problems In Business,1.00 to 4,.00.  Topics selected for enrichment and further study in special areas of business. Typically offered Summer Fall Spring.
GBG 39000,Undergraduate Special Problems,1.00 to 3,".00.  Individual participation, supervised reading, laboratory or field experiments, or research in special areas of the general business field.. Typically offered Spring Summer Fall."
BA 39000,Topics In Business,1.00 to 4,.00.  An opportunity to investigate and study particular problems and topics in the field of business. Typically offered Summer Fall Spring.
GBA 39000,Independent Study,1.00 to 6,.00.  Hours and subject matter to be arranged with General Business Section.. Typically offered Summer Fall Spring.
BCM 49700,Special Topics In Construction,0.00 to 4,".00.  Hours, subject matter, and credit to be arranged by staff. Typically offered Fall Spring Summer."
BCM 49900,Special Assignments,1.00 to 4,.00.  Special assignments for students who wish to undertake individual study on approved topics. Permission of instructor required. Typically offered Fall Spring Summer.
BCM 23500,Construction Materials & Systems,3.00,".  An advanced study of materials and structural systems used in buildings. The study of materials includes their properties, characteristics, design parameters and applications. A study of structures, superstructures, special structures and construction features.. Typically offered Fall Spring."
BCM 21200,Construction Layout,3.00,".  Application of surveying skills relevant to the field of construction. Projects include layout of buildings, route centerlines, indirect determination of elevation and distance, referencing, establishment of grade, topographic mapping, and earthwork computations. Instruments used will include transit, theodolite, automatic level, laser, and EDM. Typically offered Fall Spring Summer."
BTNY 21000,Introduction To Plant Science,4.00,".  An introduction to the major groups in the plant kingdom, their origin, classification, and economic importance. The areas of anatomy, morphology, cytology, physiology, biochemistry, molecular biology, genetics, and ecology will be explored as they relate to plant sciences and agriculture.  Course may also be offered for dual credit with cooperating Indiana high schools upon documented approval by the Department of Botany and Plant Pathology. Typically offered Fall Spring."
BCM 45500,Construction Company Management,3.00,".  Business policy and management aspects of construction companies are studied. Included are ethics, public relations, business development, business plans, bonds, insurance, and human resource management considerations.  Typically offered Fall Spring."
BCM 10001,Introduction To Construction,3.00,".  Introduction to Construction is a survey of the construction industry.  It includes the overall construction process from initial concept through start-up of the complete facility, career opportunities in the construction industry, and an introduction to the materials and management systems used in construction, with an emphasis on vocabulary building.  Typically offered Fall Spring Summer."
CE 11500,Engineering Drawing I,1.00,".  (ME 11500)  A technical drawing course covering engineering geometry, orthographic projection, auxiliary views, dimensioning, and tolerance using sketching techniques, and 2-D CAD.  Credit is not allowed for both CE 11500 and ME 11500.  Typically offered Summer Fall Spring."
CHNS 10200,Chinese Level II,4.00,.  A continuation of the study of elementary Mandarin. Students will complete study of basic syntactical patterns. Character recognition will be built to 500. Typically offered Summer Fall Spring.
CHNS 10100,Chinese Level I,4.00,".  A comprehensive course in elementary Mandarin, designed to develop basic proficiency in listening, speaking, reading, and writing. Systematic coverage of syntactical patterns. After oral foundation work, 20 characters are introduced each lesson in unsimplified and simplified forms. Typically offered Summer Fall Spring."
CDFS 60200,Advanced Family Studies,3.00,".  Integrative and comprehensive assessment of both classic and recent contributions in the field of family studies. Other topics include major theory and research, historical, current, and future critical issues in family studies.  Prerequisite: 12 hours of social sciences including six hours of advanced undergraduate courses preparing student for the study of the family. Typically offered Fall Spring."
CE 11600,Engineering Drawing II,1.00,".  (ME 11600)  A continuation of the technical drawing course covering 3-D parametric modeling, part assembly modeling, and detail and assembly drawings.  Credit is not allowed for both CE 11600 and ME 11600.  Typically offered Fall Spring Summer."
CHM 56100,Fundamental Organic Chemistry,3.00,.  A general survey of synthetic organic chemistry including some discussion of current organic theory. Should be preceded by elementary organic chemistry. Typically offered Fall.
CHM 59900,Special Assignments,1.00 to 4,.00.  Directed reading or special work not included in other courses. Permission of instructor required. Typically offered Fall Spring Summer.
CHM 56300,Organic Chemistry,3.00,.  Ionic and free radical reactions are discussed critically with emphasis on the synthetic and mechanistic aspects of the reactions studies. Typically offered Spring.
CHM 53400,Introductory Biochemistry,3.00,.  Continuation of CHM 53300 with emphasis on enzymatic catalysis and metabolic transformations. Typically offered Fall Spring Summer.
CHM 53500,Biochemistry Laboratory,1.00,.  Laboratory component for Biochemistry. Typically offered Fall Spring Summer.
CHM 51300,Chemical Literature,1.00,".  Types of information in technical publications; exercises in finding, assembling, and using such data. Typically offered Spring."
CHM 54800,Radiochemistry,3.00,".  Nuclear properties, structure, and reactions; radioactive decay; interaction of radiation with matter; radioactivity in the environment; nuclear applications in chemistry. Typically offered Spring."
CHM 53300,Introductory Biochemistry,3.00,.  A rigorous one-semester introduction to biochemistry. Typically offered Fall.
CHM 49800,Research In Chemistry,0.00 to 5,".00.  Undergraduate research, which will qualify as an Experiential Learning experience.  Admission by special permission.  Permission of instructor required.  Typically offered Fall Spring Summer."
CHM 49400,Junior-Senior Chemistry Seminar,1.00,.  Major emphasis on developing skills in oral and written presentations by students. The subject matter can be library material and/or accomplishments in undergraduate or co-op research. Typically offered Spring.
CHM 50200,Modern Chemistry In The High School,3.00,".  A critical discussion of the means by which the fundamentals of modern chemistry can best be introduced at the high school level. The laboratory will deal with the manufacture and use of lecture demonstration equipment, the use of films and film strips, and the problems involved in organizing and running a high school chemical laboratory. Typically offered Spring."
CHM 49000,Selected Topics In Chemistry For Upper-Division Students,1.00 to 4,.00.  Topics vary. Typically offered Fall Spring Summer.
CHM 49900,Special Assignments,1.00 to 5,.00.  Undergraduate research. Individual research projects undertaken under faculty direction. Permission of instructor required. Typically offered Fall Spring.
CHM 46400,Polymer Chemistry,3.00,".  An introduction to the synthesis, characterization, and physical properties of high molecular weight polymers.  The reactions, thermodynamics, and kinetics of polymerization as well as the physical characterization, the molecular structure, and the fabrication of polymers will be discussed.  Typically offered Spring."
CHM 46300,Medicinal Chemistry,3.00,".  Topics include basic medicinal chemistry principles, synthesis of selected drugs, a survey of drug development, and drug design.  Typically offered Fall Spring Summer."
CHM 46500,Synthetic Organic Chemistry,3.00,".  Topics include the development of synthetic strategies for preparing a variety of organic molecules, the use of protecting groups, enolate chemistry as a key method for forming CC bonds, functional group transformations, and other synthetic methods.  Typically offered Fall Spring Summer."
CHM 43000,Metabolic Biochemistry,3.00,".  This course focuses on understanding the major pathways of carbohydrate, lipid, and nitrogen metabolism, and integration and control of these pathways-with a special emphasis on human health and disease. Other topics covered include transport across membranes, cellular-signal transduction, photosynthesis, and carbon fixation."
CHM 46401,Polymer Chemistry Lab,1.00,".  This course covers basic experimental methods in polymer science, including synthesis, characterization and investigation of structure/property relationships. Typically offered Spring."
CHM 46200,Intermediate Organic Chemistry,3.00,".  Theory and application of organic chemistry and reaction mechanisms to organic synthesis and contemporary research topics in closely related areas.  Topics include stereochemistry, reactive organic intermediates, molecular orbital theory, photochemistry, organic materials chemistry, and chemical biology. Typically offered Spring."
CHM 42400,Analytical Chemistry II,4.00,".  Principles and application of optical and electrical methods of chemical analysis, including topics in instrumentation. Typically offered Spring."
CHM 42500,Molecular Modeling And Visualization,3.00,. Principles and applications of current theoretical and computational methods in molecular modeling. Advanced visualization methods will be used to study molecular structure. Typically offered Fall Spring Summer.
CHM 42800,Catalysis,3.00,".  Catalysts are materials which speed up chemical reactions without changing or consuming the catalyst itself in the process. They also provide selectivity or specificity to particular products which are more desirable than others. This course will focus on understanding the principles of homogeneous, heterogeneous and enzymatic catalysis, will include applications of catalysis in environmentally sustainable processes. Typically offered Fall Spring Summer."
CHM 37400,Physical Chemistry II,3.00,".  Physical chemistry of molecules. Wave properties of matter; quantum mechanics of translation, rotation, and vibration; atomic structure; molecular orbitals; quantum states; statistical mechanics; chemical kinetics; collision theory; transition state theory."
CHM 37600,Physical Chemistry Laboratory,2.00,.  Laboratory portion of CHM 37300 and 37400. Typically offered Spring.
CHM 34201,Inorganic Chemistry Laboratory,1.00,.  Laboratory work to accompany CHM 34200. Typically offered Fall.
CHM 35000,Coatings And Resins,3.00,".  This course provides a background in coatings technology and resins, including types, composition, additives, and methods of application.  Typically offered Fall."
CHM 37300,Physical Chemistry I,3.00,".  Physical chemistry of matter. Properties of gases, liquids, and solids; equations of state; thermodynamics; energy, heat, and work; entropy; spontaneity and equilibrium; chemical potential; chemical equilibrium; phase diagrams; colligative properties. Typically offered Fall."
CHM 33300,Principles Of Biochemistry,3.00,.  Structure and function of biologically important molecules. Intended for students in life sciences. Typically offered Fall Spring.
CHM 37200,Physical Chemistry,4.00,".  Principles of physical chemistry with emphasis on chemical thermodynamics and kinetics, illustrated examples from the biological sciences. Intended primarily for students in the life sciences. Other topics include physical and chemical equilibria, quantum mechanics, and spectroscopy. Typically offered Spring."
CHM 34200,Inorganic Chemistry,3.00,".  Interpretation and correlation of the reactions and properties of inorganic compounds in terms of their electronic and molecular structures. A survey of the preparations and reactivities of important compounds of the representative elements, with an emphasis on group trends. The elementary chemistry of the transition metals, including magnetic and spectral properties of coordination compounds. Typically offered Fall."
CHM 32100,Analytical Chemistry I,4.00,".  Quantitative measurements on complex chemical systems that show matrix effects or require isolation of a component prior to its determination; general approaches to quantitative problems at the trace level; critical comparisons of competitive procedures with emphasis on principles of separation processes, including chromatography; recognition and evaluation of possible sources of error; approaches for optimizing conditions so as to minimize time and/or effort required to attain prescribed levels of accuracy and precision.  Typically offered Fall."
CHM 31800,Biomolecular NMR Spectroscopy/Magnetic Resonance Imaging,3.00,".  Designed for biotechnology, biology and chemistry majors. Topics will include: theory and modern experimental applications of proton nuclear resonance (H-NMR) spectroscopy, as needed for structural elucidation of biomolecules; H-NMR spectroscopy in tow, three, and four dimensions; and Magnetic Resonance Imaging (MRI) and its uses in diagnostic medicine. Typically offered Fall Spring Summer."
CHM 29400,Sophomore Chemistry Seminar,1.00,".  Discussion of undergraduate research opportunities, upper-division courses, career opportunities, laboratory safety, use of the library and chemical information, and topics of current interest in chemistry. Required of sophomores majoring in any chemistry curriculum. Typically offered Spring."
CHM 32400,Survey of Environmental Chemistry,3.00,".  This course focuses on the chemicals, chemical principles and chemical phenomena of environmental consequence. Topics include ozone depletion, greenhouse effect, air pollution, water pollution, acid rain, toxic chemicals, energy flow, and environmental technology. Typically offered Fall."
CHM 26505,Organic Chemistry I,3.00,.  A comprehensive study of the chemical principles underlying aliphatic and aromatic compounds.  The syntheses and reactions of these materials are discussed.  Modern theory and stereochemistry are stressed to illustrate the logic inherent in the subject matter and to demonstrate the predictability of many chemical transformations.  Recommended for students majoring in chemistry.  Typically offered Fall.
CHM 31700,Bioanalytical Chemistry,3.00,".  Principles and applications of various analytical instruments as applied to biological molecules, including spectroscopy, chromatography and immunoassay, will be discussed. Quantitative and qualitative analysis of biological molecules such as peptides, proteins and toxins will be performed using analytical instruments. Typically offered Fall Spring Summer."
CHM 26400,Organic Chemistry Laboratory II,1.00,.  A continuation of CHM 26300 in that the experiments are designed to illustrate principles discussed in CHM 26605. A major portion of the course is devoted to methods employed in organic qualitative analysis. The student is expected to identify several unknown compounds and mixtures. Typically offered Spring.
CHM 29000,Selected Topics In Chemistry For Lower-Division Students,1.00 to 4,".00.  Selected Topics In Chemistry For Lower Division Students Undergraduate special work, such as an individual project, not covered in the courses.  Typically offered Fall Spring Summer."
CHM 26605,Organic Chemistry II,3.00,".  A continuation of CHM 26505, but a broader scope.  The chemistry of a variety of functional groups is discussed.  Theory is employed extensively to demonstrate the coherence underlying seemingly diverse transformations.  Qualitative organic analysis is introduced, with particular emphasis on spectroscopic methods.  Typically offered Spring."
CHM 26300,Organic Chemistry Laboratory I,1.00,.  Laboratory experiments designed to illustrate the lecture material of CHM 26505. Elementary laboratory techniques essential to organic chemistry are introduced followed by the actual synthesis and purification of compounds discussed in CHM 26505. Typically offered Fall.
CHM 25601,Organic Chemistry For The Life Sciences Laboratory II,1.00,.  A continuation of CHM 25501. Experiments are designed to illustrate principles discussed in CHM 25600.
CHM 25500,Organic Chemistry For The Life Sciences I,3.00,".  A study of aliphatic and aromatic hydrocarbons and their simple derivatives in terms of (a) structure, bonding, etc.; (b) general syntheses and reactions; and (c) a logical modern rationale for fundamental phenomena as supported by reactivity orders, orientation effects, stereochemistry, and relative rates. Recommended for biology majors."
CHM 25600,Organic Chemistry For The Life Sciences II,3.00,".  A continuation of CHM 25500 with various functional groups such as the carboxyl, amino, etc., and including such polyfunctional natural products as carbohydrates and peptides. Typically offered Fall Spring."
CHM 25501,Organic Chemistry For The Life Sciences Laboratory I,1.00,".  Laboratory experiments to accompany CHM 25500, illustrating methods of separation, instrumental methods of analysis, and the more common techniques and methods for preparing various types of organic compounds. Typically offered Fall Spring."
CHM 19400,Freshman Chemistry Orientation,1.00,".  Designed to provide incoming chemistry majors with the acedemic, survival, and computational skills to make a successful transition from high school to college. Discussion of opportunities within the chemistry department including degree options, co-op program, undergraduate research, careers in chemistry, use of spreadsheet software, graphing packages, and drawing programs for chemical structures. Attendance and performance on assigned projects are the basis of the assigned grades. Typically offered Fall."
CHM 11600,General Chemistry,4.00,".  A continuation of CHM 11500. Solutions; quantitative equilibria in aqueous solution; introductory thermodynamics; oxidation-reduction and electrochemistry; chemical kinetics; qualitative analysis; crystal structure; nuclear chemistry. Typically offered Fall Spring Summer.
CTL: IPS 1722 General Chemistry II w/lab"
BUSM 49900,Undergraduate Research In Management,3.00,.  Students will work with a faculty member on research project in their major.  They will contribute to ongoing research while learning current research techniques in management.  During this process the students will develop critical thinking and oral and written communication skills.  Permission of instructor required.  Typically offered Fall Spring Summer.
CHM 11100,General Chemistry,3.00,".  Metric and S.I. Units; dimensional analysis; density; the atomic concept; elements, compounds, and mixtures; the mole concept; equations and stoichiometry; atomic structure, spectra; the periodic table; chemical bonding, gases; descriptive chemistry of the common elements.  (Not available for credit toward graduation in the School of Engineering and Sciences). Prerequisite: High school algebra with minimum grade of C-.  Typically offered Fall Spring."
CHM 11900,General Chemistry,3.00,".  An introduction to the principles of chemistry and the fundamentals of organic chemistry and biochemistry. Topics covered include atomic and molecular structure, states of matter, acid/base chemistry, solutions, nomenclature, structure, and reactions of organic compounds and biochemicals, including carbohydrates, lipids, and proteins. Intended primarily for students in the Nursing and Integrative Human Health programs but may be taken with the consent of the instructor. Not to serve as a prerequisite for higher-numbered chemistry course."
BUSM 49500,Internship in Management,1.00 to 4,".00.  A special course in selected areas of management, designed to provide practical field experience under professional supervision in selected situations related to the student’s area of specialization. Typically offered Summer Fall Spring."
BUSM 45000,Strategic Management: Capstone,3.00,.  An extensive study of management problems in business at policy-making levels; primarily for students majoring in management.  Should be taken only in last semester of senior year. Typically offered Spring Summer Fall.
CHM 11500,General Chemistry,4.00,".  Stoichiometry; atomic structure; periodic properties; ionic and covalent bonding; molecular geometry; gases, liquids, and solids; thermochemistry. Required of students majoring in science and students in engineering. Preparation equivalent to one year of high school chemistry is strongly recommended for students enrolling in this course. Typically offered Fall Spring Summer.
CTL: IPS 1721 General Chemistry I w/lab"
BUSM 49000,Problems In Industrial Management,1.00 to 4,.00.  Investigation in a specific management field.  Arrange with instructor before enrolling. Permission of instructor required. Typically offered Fall Spring Summer.
BUSM 41100,Entrepreneurship And Creative Managerial Thinking,3.00,". This course intends to provide students with a solid foundation in terms of the vital role played by entrepreneurs and intrapreneurship in today’s business world. Students will be provided with principles of managing the creation and development of new enterprises, and knowledge and techniques for dealing with issues associated with the process of entrepreneurship development. Students will also be given instructions on how to apply the entrepreneurial philosophy and skills in the established corporate environments or systematic business models, namely adopting an intrapreneurial approach to business management. Typically offered Fall."
BUSM 40000,Fourth Year Seminar In Business,1.00,.  This concludes the sequence of professional development courses for the College of Business program. Students will develop a sense of career readiness and assess their business knowledge as they complete their program. Typically offered Fall Spring Summer.
BUSM 40010,Non Profit Management,3.00,". The course includes principles of non-profit management as well as the roles and responsibilities of a non-profit board of directors, and become acquainted with the fundamentals of the programming and budgeting process. Typically offered Fall Spring Summer."
BUSM 39200,Business Study Abroad,3.00,". This course explores international business issues, including those related to selected foreign countries. The course requires international travel. Students will identify, explain and analyze differences and similarities among international business management and practices. Permission of instructor required."
BUSM 39500,Management Of Modern Business Systems,3.00,.  The course is concerned with the nature and functioning of the organization in contemporary business. It provides students with an understanding and appreciation of how organizations work and how environmental forces influence organizational activities in the contemporary business world. Typically offered Fall Spring.
BUSM 39100,Internship In Business,1.00 to 3,".00.  Students work in a business organization in an organized and supervised situation, designed to provide experience and challenge in a business situation.  Students are evaluated by the organization supervisor and the academic coordinator. Typically offered Summer Fall Spring."
BUSM 38000,International Business,3.00,".  An introduction to the nature of international business. The course addresses the international business environment, including economic, political, legal, and social aspects. The assessment of international opportunities and risk is also addressed. Typically offered Fall Spring Summer."
BUSM 35300,Organization And Environment,an examination of the managerial issues surrounding the relationship and interactions that occur between the enterprise and individuals organizations and institutional structures outside its direct control. topics include inter-organizational networks trade associations regulatory bodies and market structures,. Typically offered Spring.
BUSM 39000,Junior Level Problems In Management,0.00 to 4,.00.  The Accounting Internship provides work experience in businesses or other institutions. Permission of instructor required. Typically offered Fall Spring Summer.
BUSM 35100,Organization Theory And Design,3.00,. An examination of the modern enterprise from the perspective of the organization and management of its internal operations and the theory and practice of management. Permission of instructor required. Typically offered Fall.
BUSM 35400,Legal Foundations Of Business I,3.00,".  An examination and study, for management students, of the nature and place of law in our society, both national and international, the social and moral bases of law enactment, regulation of business, legal liability, enforcement procedures, and the legal environment for managers. Typically offered Fall Spring Summer."
BUSM 30100,Management Career Lectures,2.00,".  Workshops and lectures involving students in the decision-making process for career planning.  Visiting executives discuss career opportunities in their fields.  Emphasis is on future academic planning, exploring careers, search strategy, interviewing, career progression, and other career and academic issues.  Typically offered Fall Spring."
BUSM 33300,Total Quality Management,3.00,".  This course focuses on the management culture, philosophy, practices, and processes necessary to develop a total quality orientation. The course bridges quantitative, behavioral, and strategic concepts for designing organizations to be dynamic, integrated systems whose outputs are monitored for quality and continuously improved. Not open to students with credit in IET 37800. Typically offered Fall."
BUSM 34400,Business Ethics,3.00,". An examination of the situations and facts that give rise to ethical problems in a business setting, and discussion of alternate courses of action which might or should be taken.  Students are introduced to ethical concepts that are relevant to resolving moral issues in business. Typically offered Fall Spring Summer."
BUSM 34000,Managerial Decision Analysis,3.00,". A rigorous and practical treatment of microeconomic and finance theories as applied to managerial decision making. Emphasis on the tools used to analyze the behavior of individual economic units. Topics include: consumer behavior and demand, decision under uncertainty, production and cost, factor demand, market structure. Typically offered Spring."
BUSM 29000,Problems In Management,0.00 to 4,.00.  Arrange with instructor before enrolling.  Investigation in a specific management field. Permission of instructor required. Typically offered Fall Spring Summer.
BUSM 30000,Third Year Seminar In Business,1.00,". This is a continuation of BUSM 20000. Students will develop professional etiquette skills, develop an understanding of the issues surrounding of workforce deversity, and continue to build their professional presences. Typically offered Fall Spring."
BUSM 19000,Freshman Level Problems In Management,1.00 to 4,.00.  Investigation into a specific topic area of Management.  Arrange with instructor before enrolling. Typically offered Fall Spring Summer.
BUSM 10100,Introduction To Business,3.00,.  An introduction to the internal operations and external environment of contemporary business. Consideration is also given to the social economic role of business in our society. The basic business functions and role of management are also discussed. Typically offered Fall Spring Summer.
BUSM 20000,Second Year Seminar in Business,1.00,". This is a continuation of BUSM 10000. Students will explore career paths, develop a job serach plan, and prepare resumes and cover letters.  Students will further develop their online professional presences.  Students will begin to develop interviewing and presentation skills. Typically offered Fall Spring."
BIA 49500,Internship In Business Information And Analytics,0.00 to 4,".00.  A special course in selected areas of management information systems, designed to provide practical field experience under professional supervision in selected situations related to the student’s area of specialization.  Typically offered Fall Spring Summer."
BUSM 10000,Freshman Seminar In Business,1.00,".  This course will familiarize new students with Purdue University Northwest, the College of Business and its programs and people, and the basic tools needed to be successful in college. Focus will be on the individual development of students with regard to future professional employment and also his or her educational planning. Typically offered Fall Spring."
BIA 48901,Enterprise Resource Planning Implementation,3.00,". This class studies the types of issues that managers will need to consider in implementing cross-functional integrated enterprise systems. The objective of this course is to make students aware of the potential and limitations of enterprise resource planning implementation. This objective will be reached through case studies, lectures, guest speakers, and a real-world project."
